"region_depart","province_depart","etat_depart","sousetat_depart","amiraute_depart","port_depart","outdate_fixed","port_destination","partner_balance_1789","partner_balance_supp_1789","pointcall_province","substate_destination","state_destination","ship_id","ship_name","captain_name","homeport_state_1789_fr","homeport_substate_1789_fr","homeport_toponyme_fr","homeport_province","commodity_standardized_fr","commodity_standardized2_fr","commodity_standardized3_fr","commodity_standardized4_fr","taxe_amount01","taxe_amount02","taxe_amount03","tonnage","tonnage_unit","tonnage_class","ship_flag_standardized_fr"
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-07-09,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001411N",Two Brothers,Jones,,,,,,,,,450,135,0,"2",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bayonne,Bayonne,1787-11-23,Hambourg,Quatre villes hanséatiques,Etranger,,,Hambourg,"0012514N",Saint Jean,"Eyser, Feye",Hambourg,,Hambourg,,Vin,,,,1 920,576,4 500,"125",tx,[101-200],hambourgeois
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-06-19,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000729N",Liberty,"Wood, Samuel",,,,,,,,,135,450,0,"2",tx,[1-20],britannique
Normandie,Normandie,France,,Port-Bail,Port-Bail,1787-12-28,Jersey,Angleterre,Etranger,,Iles anglo-normandes,Grande-Bretagne,"0002563N",Malley,"Blanpied, Jean",,,,,Lest,,,,390,117,0,"2",tx,[1-20],britannique
Normandie,Normandie,France,,Granville,Granville,1787-05-08,Petit Nord de Terre-Neuve,Angleterre,Etranger,,colonies britanniques d'Amérique,Grande-Bretagne,"0003517N",Nanette,"Le Riche, Jean Juste",,,,,Ustensiles de pêche,Pêche à la morue,,,1 830,0,0,"130",tx,[101-200],français
Normandie,Normandie,France,,Fécamp,Fécamp,1787-04-18,Frederikshald / Halden,Danemark,Etranger,,Norvège,Danemark,"0001459N",Emanuel,"Larsen, Ole",,,,,,,,,993,549,3 312,"92",tx,[51-100],danois
Picardie,Picardie,France,,Calais,Calais,1787-04-25,Deal,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000496N",Bonne Intention,"Patrison, Isaac",Grande-Bretagne,Angleterre,Deal,,,,,,450,135,150,"2",tx,[1-20],britannique
Bretagne,Bretagne,France,,Nantes,Nantes,1787-04-19,Amsterdam,Hollande,Etranger,,Hollande,Provinces-Unies,"0006927N",Bonne Attente,"Meuwes, Grelt",,,,,,,,,480,144,0,"92",tx,[51-100],prussien
Normandie,Normandie,France,,Le Havre,Le Havre,1787-01-18,Côte d'Angole,Portugal,Etranger,,colonies portugaises d'Afrique,Portugal,"0008475N",Expedition,"Le Borgne, Fromond R.in",,,,,,,,,1 830,549,0,"10",tx,[1-20],français
Picardie,Picardie,France,,Calais,Calais,1787-08-19,Deal,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001694N",Succes,"Waite, James",Grande-Bretagne,Angleterre,Deal,,,,,,450,135,150,"2",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-07-06,Londres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001404N",Boulonnais,"Altazin, François",,,,,Passagers,,,,135,450,0,"22",tx,[21-50],français
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-05-21,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0007452N",Liberty of Providence,Oliver,,,,,Passagers,,,,135,450,0,"20",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-11-17,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0007201N",Succes,Akar,,,,,,,,,450,135,0,"2",tx,[1-20],britannique
Normandie,Normandie,France,,Cherbourg,Diélette,1787-01-24,Jersey,Angleterre,Etranger,,Iles anglo-normandes,Grande-Bretagne,"0002333N",Trois Camarades,"Malzard, Jean",Grande-Bretagne,Iles anglo-normandes,Jersey,,Diverses marchandises,,,,117,390,0,"3",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-10-31,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000844N",Neptune,"Swain, Jean",Grande-Bretagne,Angleterre,Hasting,,,,,,450,135,0,"12",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-02-08,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000614N",Prince of Wales,Kerwin,,,,,Passagers,,,,450,135,0,"30",tx,[21-50],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-11-19,Sunderland,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0003231N",Anne,"Jophin, Henri",Grande-Bretagne,Angleterre,Sunderland,,Lest,,,,135,450,0,"60",tx,[51-100],britannique
Bretagne,Bretagne,France,,Saint-Malo,Saint-Malo,1787-12-24,Guernesey,Angleterre,Etranger,,Iles anglo-normandes,Grande-Bretagne,"0007568N",Etoile du Matin,"Le Maître, Jean",Grande-Bretagne,Iles anglo-normandes,Guernesey,,Diverses marchandises,Sucre,,,72,240,0,"15",tx,[1-20],britannique
Picardie,Picardie,France,,Calais,Calais,1787-11-28,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001917N",Diligent,"Barber, Samuel",Grande-Bretagne,Angleterre,Douvres,,,,,,450,720,2 400,"32",tx,[21-50],britannique
Bretagne,Bretagne,France,,Saint-Malo,Saint-Malo,1787-11-16,Jersey,Angleterre,Etranger,,Iles anglo-normandes,Grande-Bretagne,"0012473N",Saint Jean,"Quatre Sols, Dominique",France,,Saint-Malo,Bretagne,Blé,,,,240,72,0,"9",tx,[1-20],français
Picardie,Picardie,France,,Calais,Calais,1787-07-11,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0004084N",Princesse,"Ratcliff, John",Grande-Bretagne,Angleterre,Douvres,,,,,,765,135,2 550,"34",tx,[21-50],britannique
Picardie,Picardie,France,,Saint-Valéry-sur-Somme,Saint-Valery-sur-Somme,1787-03-20,Ostende,Etats de l'Empereur,Etranger,,Pays-Bas autrichiens,Autriche,"0000714N",Deux Frères,"Pottier, Claas Geerd",Provinces-Unies,Hollande,Hollande,,,,,,2 592,135,450,"72",tx,[51-100],hollandais
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-03-20,Newcastle,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0010476N",Nancys,"Brown, Peter",Grande-Bretagne,Angleterre,Newcastle,,Lest,,,,4 680,600,3 000,"200",tx,[101-200],britannique
Isles de Corse,Isles de Corse,France,,Ajaccio,Ajaccio,1787-05-19,Italie,,Etranger,,,multi-Etat,"0012986N",Annonciation,"Carlone, Joseph",,,,,,,,,600,0,0,,,,français
Languedoc,Languedoc,France,,Sète,Sète,1787-01-27,Gênes,,Etranger,,,République de Gênes,"0014854N",Jesus Marie et Joseph,"Fabre, Joseph Alexis",France,,Saint-Tropez,Provence,Vin,,,,0,0,0,,,,français
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-11-17,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001304N",Mary,Guissent,Grande-Bretagne,Angleterre,Folkestone,,,,,,135,450,0,"2",tx,[1-20],britannique
Normandie,Normandie,France,,Le Havre,Le Havre,1787-10-15,Portsmouth,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0010509N",Commerce,"Roy, John",,,,,,,,,390,117,0,"118",tx,[101-200],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-04-15,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0007200N",Succes,Taylor,,,,,,,,,135,450,0,"2",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-03-01,Saint-Pétersbourg,Russie,Etranger,,Russie - mer Baltique,Russie,"0014162N",Jan & Lenders,"Pieters, Klaas",,,,,Café,Sucre,,,2 250,6 210,3 690,"246",tx,[201-500],hollandais
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-08-08,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0004042N",Jean,"Alexander, John",,,,,,,,,450,135,0,"12",tx,[1-20],britannique
Aunis-Saintonge-Poitou,Aunis,France,,La Rochelle,Ars-en-Ré,1787-03-12,Teignmouth,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0013508N",Honoria,"Brooks, John",Grande-Bretagne,Angleterre,Teignmouth,,Sel,,,,480,0,0,"108",tx,[101-200],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-06-21,Stockholm,Suède,Etranger,,,Suède,"0003703N",Navigation,"Reeth, Johan",Suède,,Stockholm,,Sucre,,,,9 900,4 386,2 250,"165",tx,[101-200],suédois
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-11-15,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000460N",Princess Royale,Keyss,Grande-Bretagne,Angleterre,Douvres,,Passagers,,,,135,450,0,"30",tx,[21-50],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-08-06,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000008N",Lyon,"Philips, Thomas",Grande-Bretagne,Angleterre,Hasting,,,,,,135,450,0,"12",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-08-08,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001304N",Mary,"Peters, David",Grande-Bretagne,Angleterre,Folkestone,,,,,,450,135,0,"2",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-04-12,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000517N",Wilkes,Butcher,Grande-Bretagne,Angleterre,Chatham ,,,,,,450,135,0,"2",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-07-27,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000603N",Neptune,"Richmont, Samuel",Grande-Bretagne,Angleterre,Burnham,,,,,,135,450,0,"12",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-02-18,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001628N",Lively,Middleton,,,,,,,,,135,450,0,"2",tx,[1-20],britannique
Picardie,Picardie,France,,Calais,Calais,1787-07-20,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000127N",Paix,"Dunez, Jean",France,,Calais,Picardie,,,,,450,135,0,,,,français
Canada,Canada,France,colonies françaises d'Amérique,Saint-Pierre-et-Miquelon,Saint-Pierre-et-Miquelon,1787-06-28,îles de la Madeleine,Angleterre,Etranger,,colonies britanniques d'Amérique,Grande-Bretagne,"0002874N",Marguerite,"Arsonneaux, Antoine",,,,,,,,,1 800,0,0,"20",tx,[1-20],britannique
Picardie,Picardie,France,,Calais,Calais,1787-06-13,Dartmouth,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0007673N",Henrietta,"Keen, James",Grande-Bretagne,Angleterre,Dartmouth,,,,,,450,135,1 800,"24",tx,[21-50],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-08-30,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000744N",Liberty,"Hammond, Thomas",Grande-Bretagne,Angleterre,Douvres,,Passagers,,,,135,450,0,"20",tx,[1-20],britannique
Roussillon,Roussillon,France,,Collioure,Collioure,1787-12-18,Catalogne,Espagne,Etranger,,,Espagne,"0008073N",Saint Joseph,"Bourset, Joseph",,,,,Blé,,,,36,120,0,"3",tx,[1-20],"Espagne, undeterminé"
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-02-27,Ostende,Etats de l'Empereur,Etranger,,Pays-Bas autrichiens,Autriche,"0003593N",Johanna Christine,"Tarckel, Johan Jurg.",,,,,Diverses marchandises,,,,135,450,0,"180",tx,[101-200],danois
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-07-21,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001587N",Ann,Page,Grande-Bretagne,Angleterre,Hasting,,,,,,135,450,0,"2",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-07-04,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001564N",Fortune,"Richard, Edward",Grande-Bretagne,Angleterre,Folkestone,,,,,,450,135,0,"12",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-04-01,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001543N",Boulogne Cutter,Richards,,,,,,,,,450,135,0,"2",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-07-20,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001522N",Old Shoë,Gowlder,,,,,,,,,135,450,0,"2",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bayonne,Bayonne,1787-06-28,Baiona (Galice),Espagne,Etranger,,,Espagne,"0002971N",Saint Joseph et Ames,"Romero, Roque",Espagne,,Mouros,,Goudron,Brai,,,576,1 920,0,"9",tx,[1-20],"Espagne, undeterminé"
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-05-21,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001431N",Succes,Waterman,,,,,,,,,450,135,0,"2",tx,[1-20],britannique
Normandie,Normandie,France,,Le Havre,Le Havre,1787-05-29,Falmouth,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0006936N",Providence,"Braily, Joseph",,,,,,,,,117,390,0,"26",tx,[21-50],britannique
Normandie,Normandie,France,,Port-Bail,Port-Bail,1787-08-02,Jersey,Angleterre,Etranger,,Iles anglo-normandes,Grande-Bretagne,"0001295N",Dauphin,"Fillieul, Jean",,,,,,,,,390,0,0,"2",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-10-04,Ostende,Etats de l'Empereur,Etranger,,Pays-Bas autrichiens,Autriche,"0010794N",Neptune,"Junker, Erick",Suède,,Halmstad,,Vin,,,,2 250,3 375,1 800,"120",tx,[101-200],suédois
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-01-01,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000952N",Fame,"Haddam, John",Grande-Bretagne,Angleterre,Hasting,,,,,,450,135,0,"12",tx,[1-20],britannique
Picardie,Picardie,France,,Saint-Valéry-sur-Somme,Saint-Valery-sur-Somme,1787-11-23,Rotterdam,Hollande,Etranger,,Hollande,Provinces-Unies,"0001197N",Jeune Jan,"Vanduyn, Pieter",,,,,,,,,900,135,450,"25",tx,[21-50],hollandais
Canada,Canada,France,colonies françaises d'Amérique,Saint-Pierre-et-Miquelon,Saint-Pierre-et-Miquelon,1787-06-18,Boston,Etats-Unis,Etranger,,Massachussets,Etats-Unis d'Amérique,"0000918N",Fils Unique,"Lissabe, Dominique",France,,Saint-Martin-de-Ré,Aunis,,,,,1 800,0,0,"90",tx,[51-100],français
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-07-14,Gothembourg ,Suède,Etranger,,,Suède,"0011441N",Johanna Sophie,"Bjorckman, Erick",Suède,,Gothembourg ,,Eau-de-vie,Vin,,,1 920,7 680,3 555,"128",tx,[101-200],suédois
Picardie,Picardie,France,,Calais,Calais,1787-09-30,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000829N",Roy George,"Bagster, George",Grande-Bretagne,Angleterre,Douvres,,,,,,2 400,135,720,"32",tx,[21-50],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-09-03,Guernesey,Angleterre,Etranger,,Iles anglo-normandes,Grande-Bretagne,"0001767N",Fortune,"Cezar, Charles",France,,Dunkerque,Flandre,,,,,450,135,0,"12",tx,[1-20],français
Bretagne,Bretagne,France,,Lorient,Lorient,1787-09-14,Îles Féroé,Danemark,Etranger,,,Danemark,"0013636N",Industrie,"Duggam, James",Grande-Bretagne,Irlande,Cork,,Eau-de-vie,Vin,,,630,0,0,"42",tx,[21-50],britannique
Bretagne,Bretagne,France,,Nantes,Nantes,1787-05-04,Hambourg,Quatre villes hanséatiques,Etranger,,,Hambourg,"0008256N",Jeune Heldert,"Stughamer, Lintseer Schders",Hambourg,,Hambourg,,,,,,480,144,0,"149",tx,[101-200],hambourgeois
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-06-17,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000742N",Peggy,"Ball, William",Grande-Bretagne,Angleterre,Hasting,,,,,,135,450,0,"12",tx,[1-20],britannique
Provence,Provence,France,,Saint-Tropez,Saint-Tropez,1787-04-18,Levant,,Etranger,,,Empire ottoman,"0014487N",Marianne,"Grasset, Jean Joseph François",France,,Saint-Tropez,Provence,Lest,,,,0,0,0,"60",tx,[51-100],français
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-10-31,Îles Féroé,Danemark,Etranger,,,Danemark,"0005815N",Framasson,"Boyle, Michel",,,pas identifié,,Vin,Eau-de-vie,,,960,1 035,2 250,"16",tx,[1-20],britannique
Bretagne,Bretagne,France,,Nantes,Le Croisic,1787-05-08,Nouvelle-Ecosse,Angleterre,Etranger,,colonies britanniques d'Amérique,Grande-Bretagne,"0009552N",Sally,"Coggon, Richard",Grande-Bretagne,Angleterre,Londres,,Sel,,,,1 800,540,0,"210",tx,[201-500],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-08-29,Yarmouth,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001283N",Actif,"Dunn, George",Grande-Bretagne,Angleterre,Yarmouth,,,,,,135,450,0,"45",tx,[21-50],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-04-06,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0012183N",Lively,Plan,,,,,,,,,135,450,0,"2",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-09-24,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0003792N",Peggy,"Feast, Jean",Grande-Bretagne,Angleterre,Folkestone,,,,,,135,450,0,"12",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-06-05,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0007200N",Succes,Taylor,,,,,,,,,450,135,0,"2",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-04-16,Zierikzee,Hollande,Etranger,,Zélande,Provinces-Unies,"0000515N",Willemine,"Vanderpluyn, Teunis",Provinces-Unies,Zélande,Zierikzee,,,,,,135,450,0,"12",tx,[1-20],hollandais
Aunis-Saintonge-Poitou,Saintonge,France,,Marennes,Marennes,1787-08-18,Dordrecht ,Hollande,Etranger,,Hollande,Provinces-Unies,"0009209N",Vellebedagt,"Sierkens, Jean",Prusse,Frise orientale,Emden,,Sel,,,,144,480,0,"252",tx,[201-500],prussien
Picardie,Picardie,France,,Calais,Calais,1787-07-28,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000127N",Paix,"Dunez, Jean",France,,Calais,Picardie,,,,,450,135,0,,,,français
Picardie,Picardie,France,,Saint-Valéry-sur-Somme,Saint-Valery-sur-Somme,1787-04-04,Ostende,Etats de l'Empereur,Etranger,,Pays-Bas autrichiens,Autriche,"0001653N",Amitié,"Hiertel, Jean François",France,,Saint-Valery-sur-Somme,Picardie,,,,,450,1 440,135,"60",tx,[51-100],français
Normandie,Normandie,France,,Le Havre,Le Havre,1787-09-10,Nordbergen,Suède,Etranger,,,Suède,"0003018N",Catharina Maria,"Krog, Jans",,,,,,,,,549,1 830,0,"60",tx,[51-100],
Normandie,Normandie,France,,Cherbourg,Cherbourg,1787-06-04,Holmestrand,Danemark,Etranger,,Norvège,Danemark,"0001914N",Deux Frères,"Jenssen, B.",,,,,Lest,,,,1 800,540,0,"85",tx,[51-100],danois
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-08-02,Copenhague ,Danemark,Etranger,,,Danemark,"0009851N",Bonne Intention,"Voss, Hans",Danemark,,Altona,,Diverses marchandises,Café,,,1 935,2 250,3 582,"129",tx,[101-200],danois
Picardie,Picardie,France,,Calais,Calais,1787-09-24,Kristiansand ,Danemark,Etranger,,Norvège,Danemark,"0003301N",Ferdig,"Frost, Salomon",Danemark,Norvège,Kristiansand ,,,,,,5 250,1 575,135,"70",tx,[51-100],danois
Picardie,Picardie,France,,Calais,Calais,1787-12-08,Deal,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000615N",Tarr,"Carish, John",Grande-Bretagne,Angleterre,Deal,,,,,,450,135,150,"2",tx,[1-20],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-01-01,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001807N",Fanny,Hoivll,,,,,,,,,450,135,0,"2",tx,[1-20],britannique
Isles de Corse,Isles de Corse,France,,Ajaccio,Ajaccio,1787-04-14,Italie,,Etranger,,,multi-Etat,"0010908N",Notre Dame de la Misericorde,"Malino, François",,,,,,,,,2 400,0,0,,,,français
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-09-07,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0003792N",Peggy,Feast,Grande-Bretagne,Angleterre,Hasting,,,,,,450,135,0,"12",tx,[1-20],britannique
Normandie,Normandie,France,,Le Havre,Le Havre,1787-04-16,Côte d'Angole,Portugal,Etranger,,colonies portugaises d'Afrique,Portugal,"0010948N",Jason,"Favre, Jean Louis",,,,,,,,,1 830,549,0,"240",tx,[201-500],français
Guyenne,Guyenne,France,,Bayonne,Bayonne,1787-07-10,Bilbao,Espagne,Etranger,,,Espagne,"0010641N",Notre Dame de Cabandonga,"De Manena, Raimond",Espagne,,Plencia,,Eau-de-vie,Goudron,Brai,,1 920,576,0,"30",tx,[21-50],"Espagne, undeterminé"
Isles de Corse,Isles de Corse,France,,Ajaccio,Ajaccio,1787-09-03,Italie,,Etranger,,,multi-Etat,"0005653N",Saint George,"Selli, Jean Baptiste",,,,,,,,,600,0,0,,,,français
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-02-24,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000603N",Neptune,"Richmond, Samuel",Grande-Bretagne,Angleterre,Burnham,,,,,,450,135,0,"12",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bayonne,Bayonne,1787-03-23,Bilbao,Espagne,Etranger,,,Espagne,"0012533N",Bilbao,"Croslart, Samuel",Grande-Bretagne,Angleterre,Hull,,Diverses marchandises,,,,5 040,180,600,"140",tx,[101-200],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-09-11,Veere,Hollande,Etranger,,Zélande,Provinces-Unies,"0000938N",Sophie Elisabeth,"Montaan, Hermanus",Provinces-Unies,Zélande,Veere,,,,,,135,450,0,"50",tx,[21-50],hollandais
Aunis-Saintonge-Poitou,Poitou,France,,Sables-d’Olonne,Noirmoutier,1787-05-19,Saint-Jean de Terre-Neuve,Angleterre,Etranger,,colonies britanniques d'Amérique,Grande-Bretagne,"0009184N",Eléonore,"Colinans, Richard",Grande-Bretagne,Angleterre,Dartmouth,,Sel,,,,480,0,0,"114",tx,[101-200],britannique
Guyenne,Guyenne,France,,Bordeaux,Bordeaux,1787-07-30,Calmar,Suède,Etranger,,,Suède,"0002626N",Sparsamheten,"Sydow, Christian",Suède,,Calmar,,Lest,,,,2 250,4 200,2 250,"70",tx,[51-100],suédois
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-11-19,Angleterre (destination simulée pour),Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000828N",Bonne Intention,"Nesh, Elie",Grande-Bretagne,Angleterre,Rye,,Diverses marchandises,,,,450,135,0,"12",tx,[1-20],britannique
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-02-15,Sunderland,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0003226N",Economie,"Willenson, John",Grande-Bretagne,Angleterre,Sunderland,,,,,,450,135,0,"162",tx,[101-200],britannique
Bretagne,Bretagne,France,,Nantes,Nantes,1787-09-27,Stettin,Prusse,Etranger,,,Prusse,"0006843N",Saint Antoine,"Schutte, Joost Jansen",,,,,,,,,144,480,0,"137",tx,[101-200],papenbourgeois
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-02-21,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0001304N",Mary,"Fanny, John",Grande-Bretagne,Angleterre,Folkestone,,,,,,450,135,0,"2",tx,[1-20],britannique
Aunis-Saintonge-Poitou,Saintonge,France,,Marennes,Marennes,1787-08-29,Bilbao,Espagne,Etranger,,,Espagne,"0006853N",Saint Jean Baptiste,"Bastera, Jean",Espagne,,Plencia,,Sel,,,,540,1 800,0,"45",tx,[21-50],"Espagne, undeterminé"
Flandre,Flandre,France,,Dunkerque,Dunkerque,1787-12-03,Ostende,Etats de l'Empereur,Etranger,,Pays-Bas autrichiens,Autriche,"0000450N",Espérance,"Dobbelaer, Jean",Autriche,Pays-Bas autrichiens,Ostende,,Eau-de-vie,,,,450,135,0,"36",tx,[21-50],Pays-Bas autrichien
Picardie,Picardie,France,,Calais,Calais,1787-05-24,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000460N",Princesse,"Keys, Will",Grande-Bretagne,Angleterre,Douvres,,,,,,450,135,675,"30",tx,[21-50],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-07-28,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000107N",Succes,Pomphrey,,,,,,,,,450,135,0,"12",tx,[1-20],britannique
Picardie,Picardie,France,,Calais,Calais,1787-10-11,Douvres,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000740N",Pitt,"Sharp, William",Grande-Bretagne,Angleterre,Douvres,,,,,,2 250,135,675,"30",tx,[21-50],britannique
Picardie,Picardie,France,,Boulogne,Boulogne-sur-Mer,1787-04-15,Angleterre,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0000729N",Liberty,"Miller, Thomas",,,,,,,,,450,135,0,"2",tx,[1-20],britannique
Bretagne,Bretagne,France,,Brest,Roscoff,1787-02-20,îles Scilly,Angleterre,Etranger,,Angleterre,Grande-Bretagne,"0009837N",Good Intend,"Guilisen, Etienne",Grande-Bretagne,Angleterre,îles Scilly,,Eau-de-vie,,,,144,480,0,"4",tx,[1-20],britannique
Guyenne,Guyenne,France,,Bayonne,Bayonne,1787-03-13,Brême,Quatre villes hanséatiques,Etranger,,,Brême,"0009290N",Constance,"Goosman, Herman",Brême,,Brême,,Vin,,,,1 920,576,6 840,"190",tx,[101-200],brémois
Aunis-Saintonge-Poitou,Aunis,France,,La Rochelle,Saint-Martin-de-Ré,1787-02-17,Boston,Etats-Unis,Etranger,,Massachussets,Etats-Unis d'Amérique,"0003394N",Conception,"Turpin, Jean François Guillaume",France,,Saint-Malo,Bretagne,Vin,,,,1 800,0,0,"120",tx,[101-200],français
Bretagne,Bretagne,France,,Lorient,Lorient,1787-11-02,Îles Féroé,Danemark,Etranger,,,Danemark,"0001235N",Amitié,"Collen, James",Grande-Bretagne,Irlande,Dublin,,Eau-de-vie,,,,634,0,0,"38",tx,[21-50],britannique
