"region_depart","amiraute_depart","port_depart","outdate_fixed","port_destination","partner_balance_1789","partner_balance_supp_1789","ship_id","ship_name","captain_name","homeport_state_1789_fr","homeport_substate_1789_fr","homeport_toponyme_fr","homeport_province","commodity_standardized_fr","commodity_standardized2_fr","commodity_standardized3_fr","commodity_standardized4_fr","taxe_amount01","taxe_amount02","taxe_amount03","tonnage","tonnage_unit","tonnage_class"
Isles de Corse,Bastia,Bastia,1787-05-01,Mer Mediterranée,,Etranger,"0014126N",Assomption,"Mareloi, Dominique",,,,,,,,,2 400,0,0,,,
Picardie,Boulogne,Boulogne-sur-Mer,1787-02-19,Angleterre,Angleterre,Etranger,"0000003N",Endeavour,"Saval, Richard",,,,,,,,,135,450,0,"2",tx,[1-20]
Picardie,Calais,Calais,1787-06-13,Douvres,Angleterre,Etranger,"0001209N",Diligent,"Berthe, Dominique",France,,Calais,Picardie,,,,,450,135,0,,,
Normandie,Cherbourg,Cherbourg,1787-03-21,île de Wight,Angleterre,Etranger,"0001971N",Lionne,"Cherine, Pierre",,,,,Lest,,,,117,390,0,"8",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-02-20,Angleterre,Angleterre,Etranger,"0001431N",Succes,Cardy,,,,,,,,,450,135,0,"2",tx,[1-20]
Bretagne,Nantes,Nantes,1787-02-21,Hambourg,Quatre villes hanséatiques,Etranger,"0008274N",Jeune Catherine,"Brunvich, Jurgen",Hambourg,,Hambourg,,,,,,144,480,0,"140",tx,[101-200]
Normandie,Port-Bail,Port-Bail,1787-04-06,Grands Bancs de Terre-Neuve,,Etranger,"0002569N",Charles Louis,"Boivin, Charles François",France,,Regnéville,Normandie,Sel,Vivres,Vivres,Vivres,549,1 830,0,"80",tx,[51-100]
Picardie,Boulogne,Boulogne-sur-Mer,1787-11-17,Angleterre,Angleterre,Etranger,"0009860N",Good Intent,Chilty,Grande-Bretagne,Angleterre,Deal,,,,,,450,135,0,"2",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-06-03,Angleterre,Angleterre,Etranger,"0007200N",Succes,Taylor,,,,,,,,,450,135,0,"2",tx,[1-20]
Picardie,Calais,Calais,1787-08-03,Douvres,Angleterre,Etranger,"0000795N",Hardwick,"Clarck, Edouard",Grande-Bretagne,Angleterre,Douvres,,,,,,2 400,135,720,"32",tx,[21-50]
Bretagne,Nantes,Le Croisic,1787-09-14,Gothembourg ,Suède,Etranger,"0011438N",Apparence,"Lind, Erek",Suède,,Gothembourg ,,Sel,,,,144,480,0,"100",tx,[51-100]
Bretagne,Brest,Brest,1787-09-07,Mer Mediterranée,,Etranger,"0008034N",Fortune,"Olson, Jouan",Suède,,Uddevalla,,Planches,,,,480,9 000,0,"250",tx,[201-500]
Picardie,Calais,Calais,1787-02-23,Douvres,Angleterre,Etranger,"0000888N",Mercure,"Lamy, Antoine",France,,Calais,Picardie,,,,,450,135,0,,,
Flandre,Dunkerque,Dunkerque,1787-10-16,Angleterre (destination simulée pour),Angleterre,Etranger,"0000578N",Bonne Intention,"Philips, George",Grande-Bretagne,Angleterre,Hasting,,,,,,135,450,0,"12",tx,[1-20]
Bretagne,Brest,Roscoff,1787-09-29,Polperro,Angleterre,Etranger,"0012928N",Dumphan,Marck,Grande-Bretagne,Angleterre,Polperro,,Eau-de-vie,,,,480,0,0,"11",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-01-06,Angleterre,Angleterre,Etranger,"0001304N",Mary,"Radlen, John",Grande-Bretagne,Angleterre,Folkestone,,,,,,135,450,0,"2",tx,[1-20]
Provence,Saint-Tropez,Saint-Tropez,1787-03-07,Gênes,,Etranger,"0014569N",Marie Antoinette,"Perrimond, Jean Baptiste",France,,Saint-Tropez,Provence,Vin,,,,0,0,0,"34",tx,[21-50]
Picardie,Calais,Calais,1787-07-16,Deal,Angleterre,Etranger,"0000496N",Bonne Intention,"Forman, Thomas",Grande-Bretagne,Angleterre,Deal,,,,,,450,135,150,"2",tx,[1-20]
Aunis-Saintonge-Poitou,La Rochelle,Rochefort,1789-12-09,Barcelone,Espagne,Etranger,,Deux frères,"Bakker, Jacob",Provinces-Unies,Hollande,Amsterdam,,Vide,,,,1 800,0,0,"630",tx,[501 et plus]
Bretagne,Nantes,Nantes,1787-02-06,Gand,Etats de l'Empereur,Etranger,"0008243N",Jeune Fokka,"Fokker, Fokkes",,,,,,,,,480,144,0,"120",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-03-20,Noordwijk ,Hollande,Etranger,"0003240N",Jeanne Anne,"Plogh, Leender Janssen",Provinces-Unies,Hollande,Noordwijk ,,,,,,135,450,0,"12",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-10-10,Ostende,Etats de l'Empereur,Etranger,"0001538N",Jalousie,"Coddevin, Pierre",France,,Dunkerque,Flandre,Diverses marchandises,Huile,Huile,Huile,135,450,0,"13",tx,[1-20]
Picardie,Calais,Calais,1787-08-11,Faversham,Angleterre,Etranger,"0001067N",William et Mary,"Brelt, Henry",Grande-Bretagne,Angleterre,Faversham,,,,,,450,135,300,"4",tx,[1-20]
Normandie,Cherbourg,Diélette,1787-07-05,Guernesey,Angleterre,Etranger,"0000281N",Judith,"Lesebirelle, Siméon",,,,,Diverses marchandises,,,,390,0,0,"2",tx,[1-20]
Normandie,Rouen,Rouen,1787-05-08,Dordrecht ,Hollande,Etranger,"0001886N",Ville de Rotterdam,"Steurs, Hermanus",,,,,,,,,390,117,756,"70",tx,[51-100]
Normandie,Le Havre,Le Havre,1787-09-22,Gèfle ,Suède,Etranger,"0010405N",Minerve,"Saellstrom, Olof",,,,,,,,,549,1 830,0,"147",tx,[101-200]
Guyenne,Bayonne,Bayonne,1787-06-25,Brême,Quatre villes hanséatiques,Etranger,"0012062N",Direction,"Kielhmann, Carl Magrues",Lubeck,,Lübeck,,Vin,,,,1 920,576,6 660,"185",tx,[101-200]
Picardie,Boulogne,Boulogne-sur-Mer,1787-02-25,Hollande,Hollande,Etranger,"0001646N",Demoiselle Catherine,"Spanderman, Cornelis",,,,,Futailles vides,,,,450,135,0,"30",tx,[21-50]
Flandre,Dunkerque,Dunkerque,1787-12-31,Angleterre (destination simulée pour),Angleterre,Etranger,"0000007N",Lion,"Bewel, Salomon",Grande-Bretagne,Angleterre,Hasting,,,,,,135,450,0,"12",tx,[1-20]
Guyenne,Bordeaux,Bordeaux,1787-08-08,Amsterdam,Hollande,Etranger,"0008260N",Jeune Isac Bauman,"De Boer, Berend Claasen",Prusse,Frise orientale,Emden,,Sucre,Café,Café,Café,7 800,3 600,2 250,"130",tx,[101-200]
Bretagne,Nantes,Nantes,1787-08-25,Côte d'Afrique [de l'Ouest],,Sénégal et Guinée,"0016362N",Marquis de Bouillé,"Quirouard, Julien",France,,Nantes,Bretagne,,,,,1 800,540,0,"437",tx,[201-500]
Picardie,Boulogne,Boulogne-sur-Mer,1787-08-29,Angleterre,Angleterre,Etranger,"0002324N",Traveller,Warman,Grande-Bretagne,Angleterre,Folkestone,,,,,,450,135,0,"2",tx,[1-20]
Normandie,Le Havre,Le Havre,1787-07-12,Southampton,Angleterre,Etranger,"0006330N",Johana,"Wecks, John",,,,,,,,,390,117,0,"38",tx,[21-50]
Flandre,Dunkerque,Dunkerque,1787-08-13,Angleterre (destination simulée pour),Angleterre,Etranger,"0000061N",Hirondelle,"Middleton, John",Grande-Bretagne,Angleterre,Douvres,,,,,,135,450,0,"12",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-03-22,Ostende,Etats de l'Empereur,Etranger,"0001258N",Saint Antoine,"Boer, Conrard George",France,,Dunkerque,Flandre,Sel,Eau-de-vie,Eau-de-vie,Eau-de-vie,450,135,0,"30",tx,[21-50]
Picardie,Calais,Calais,1787-06-01,Douvres,Angleterre,Etranger,"0002544N",Traité de Commerce,"Hobbard, Philippe",Grande-Bretagne,Angleterre,Douvres,,,,,,450,135,1 800,"24",tx,[21-50]
Picardie,Calais,Calais,1787-08-11,Douvres,Angleterre,Etranger,"0006385N",Vigilence,"Wood, James",Grande-Bretagne,Angleterre,Douvres,,,,,,450,900,135,"12",tx,[1-20]
Picardie,Calais,Calais,1787-06-11,Barcelone,Espagne,Etranger,"0000950N",Actif,"Hervieux, Charles",France,,Dieppe,Normandie,,,,,2 100,633,8 250,"110",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-03-27,Grands Bancs de Terre-Neuve,,Etranger,"0000172N",Marie Thérèse,"Palette <fils>, Jean",France,,Dunkerque,Flandre,Pêche à la morue,Ustensiles de pêche,Ustensiles de pêche,Ustensiles de pêche,675,2 250,0,"70",tx,[51-100]
Bretagne,Brest,Roscoff,1787-04-28,îles Scilly,Angleterre,Etranger,"0013398N",Buster,"Tregerthen, Samuel",Grande-Bretagne,Angleterre,îles Scilly,,Eau-de-vie,,,,480,108,0,"3",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-01-23,Angleterre,Angleterre,Etranger,"0001628N",Lively,Calleen,,,,,,,,,135,450,0,"2",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-02-25,Angleterre (destination simulée pour),Angleterre,Etranger,"0000116N",Speedwell,"Blythe, John",Grande-Bretagne,Angleterre,Burnham,,,,,,135,450,0,"12",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-08-23,Veere,Hollande,Etranger,"0000364N",Charmante Marie,"Cars, Daniel",Provinces-Unies,Zélande,Veere,,,,,,450,135,0,"60",tx,[51-100]
Picardie,Calais,Calais,1787-07-30,Whistable,Angleterre,Etranger,"0001688N",Amis,"Fair Brass, William",Grande-Bretagne,Angleterre,Whistable,,,,,,450,300,135,"4",tx,[1-20]
Normandie,Le Havre,Le Havre,1787-08-17,Londres,Angleterre,Etranger,"0013567N",Southampton,"Hosking, William",,,,,,,,,390,117,0,"17",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-04-27,Folkestone,Angleterre,Etranger,"0001632N",Bonne Intention,"Buke, Robert",Grande-Bretagne,Angleterre,Folkestone,,,,,,450,135,0,"12",tx,[1-20]
Bretagne,Saint-Malo,Saint-Malo,1787-04-13,"Terre-Neuve, île de",Angleterre,Etranger,"0009405N",Saint René,"De Sandrais, Anthoine Eudes",France,,Saint-Malo,Bretagne,Pêche à la morue,Sel,Sel,Sel,540,1 800,0,"140",tx,[101-200]
Picardie,Boulogne,Boulogne-sur-Mer,1787-07-05,Angleterre,Angleterre,Etranger,"0001431N",Succes,"Wood, Samuel",,,,,,,,,450,135,0,"2",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-08-14,Angleterre (destination simulée pour),Angleterre,Etranger,"0001141N",Providence,"Parish, Etienne",,,,,,,,,135,450,0,"12",tx,[1-20]
Picardie,Calais,Calais,1787-11-30,Deal,Angleterre,Etranger,"0000496N",Bonne Intention,"Crip, John",Grande-Bretagne,Angleterre,Deal,,,,,,135,150,45,"2",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-07-27,Sunderland,Angleterre,Etranger,"0003224N",Fortitude,"Henderson, Jean",Grande-Bretagne,Angleterre,Sunderland,,,,,,135,450,0,"80",tx,[51-100]
Normandie,Fécamp,Fécamp,1787-12-21,Londres,Angleterre,Etranger,"0002206N",Duc d' Avray,"Anfray, Adrien",France,,Fécamp,Normandie,,,,,117,390,0,"76",tx,[51-100]
Picardie,Boulogne,Boulogne-sur-Mer,1787-05-13,Angleterre,Angleterre,Etranger,"0003670N",Coliar,"Badgant, John",,,,,,,,,135,450,0,"2",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-08-18,Angleterre (destination simulée pour),Angleterre,Etranger,"0009845N",Intention,"Kirkardie, John",Grande-Bretagne,Angleterre,Deal,,,,,,135,450,0,"12",tx,[1-20]
Normandie,Dieppe,Dieppe,1787-05-07,Brighton,Angleterre,Etranger,"0000459N",Princesse Royale,"Killick, Robert",,,,,,,,,390,117,0,"40",tx,[21-50]
Normandie,Granville,Granville,1787-11-26,Jersey,Angleterre,Etranger,"0000387N",Fortune,"Morand, Philippe",Grande-Bretagne,Iles anglo-normandes,Jersey,,Passagers,,,,390,0,0,"6",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-01-09,Ostende,Etats de l'Empereur,Etranger,"0007625N",Espérance,"Vanderheyde, Antoine",Autriche,Pays-Bas autrichiens,Ostende,,Laine,,,,450,135,0,"30",tx,[21-50]
Picardie,Boulogne,Boulogne-sur-Mer,1787-12-26,Angleterre,Angleterre,Etranger,"0000002N",Endeavour,Edward,Grande-Bretagne,Angleterre,Folkestone,,,,,,135,450,0,"12",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-11-24,Angleterre (destination simulée pour),Angleterre,Etranger,"0009845N",Bonne Intention de Deal,"Kirkaldie, John",Grande-Bretagne,Angleterre,Deal,,Diverses marchandises,,,,135,450,0,"12",tx,[1-20]
Picardie,Calais,Calais,1787-06-17,Douvres,Angleterre,Etranger,"0000976N",Prince,"Ratcliff, Thomas",Grande-Bretagne,Angleterre,Douvres,,,,,,450,135,2 400,"32",tx,[21-50]
Guyenne,Bayonne,Bayonne,1787-07-28,Santander,Espagne,Etranger,"0012164N",Saint Martin,"Hiriart, Bertrand",France,,Saint-Jean-de-Luz ,Guyenne,Planches,Eau-de-vie,Eau-de-vie,Eau-de-vie,144,480,0,"28",tx,[21-50]
Picardie,Calais,Calais,1787-11-05,Douvres,Angleterre,Etranger,"0000888N",Mercure,"Lamy, Antoine",France,,Calais,Picardie,,,,,135,450,0,,,
Normandie,Cherbourg,Diélette,1787-06-30,Guernesey,Angleterre,Etranger,"0001256N",Liberté,"Falla, Etienne",,,,,Diverses marchandises,,,,390,0,0,"2",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-01-15,Angleterre,Angleterre,Etranger,"0001431N",Succes,Gwidy,,,,,,,,,450,135,0,"2",tx,[1-20]
Normandie,Granville,Granville,1787-03-16,Grands Bancs de Terre-Neuve,,Etranger,"0003403N",Maurice,"Quinette, Jean",,,,,Ustensiles de pêche,Pêche à la morue,Pêche à la morue,Pêche à la morue,1 830,0,0,"70",tx,[51-100]
Flandre,Dunkerque,Gravelines,1787-09-14,Øksfjord ,Danemark,Etranger,"0001900N",Anna Marguerita,"Nielsen, Elling",Danemark,Norvège,Norvège,,,,,,5 400,2 250,0,"150",tx,[101-200]
Picardie,Saint-Valéry-sur-Somme,Saint-Valery-sur-Somme,1787-12-07,Stockton,Angleterre,Etranger,"0003884N",Cœur de Chare,"Potts, M.l",,,,,,,,,450,135,2 808,"78",tx,[51-100]
Picardie,Calais,Calais,1787-06-27,Douvres,Angleterre,Etranger,"0000747N",Exprés,"Samson, B.k",Grande-Bretagne,Angleterre,Douvres,,,,,,2 250,135,675,"30",tx,[21-50]
Guyenne,Bordeaux,Bordeaux,1787-02-26,Bergue ,Danemark,Etranger,"0012040N",Resolution,"Tornoe, Casper",Danemark,Norvège,Bergue ,,Eau-de-vie,Vin,Vin,Vin,3 375,1 800,2 250,"120",tx,[101-200]
Normandie,Dieppe,Dieppe,1787-11-02,Brighton,Angleterre,Etranger,"0000746N",Prince de Galles,"Burton, Samuel",,,,,,,,,390,117,0,"40",tx,[21-50]
Picardie,Boulogne,Boulogne-sur-Mer,1787-09-05,Angleterre,Angleterre,Etranger,"0001522N",Old Shoë,Gowlder,,,,,,,,,135,450,0,"2",tx,[1-20]
Aunis-Saintonge-Poitou,La Rochelle,Tonnay-Charente,1789-01-23,Londres,Angleterre,Etranger,,Héleonore,"How, Thomas",Grande-Bretagne,Angleterre,Londres,,,,,,480,0,0,"100",tx,[51-100]
Aunis-Saintonge-Poitou,Sables-d’Olonne,Noirmoutier,1789-07-19,Norvège,Danemark,Etranger,,Marta Margarita,"Dake, Jorgen",Danemark,Norvège,Norvège,,Sel,,,,480,0,0,"300",tx,[201-500]
Normandie,Dieppe,Dieppe,1787-03-06,Grands Bancs de Terre-Neuve,,Etranger,"0000637N",Providence,"Sabot, Alexis",France,,Dieppe,Normandie,Pêche à la morue,,,,549,1 830,0,"96",tx,[51-100]
Picardie,Boulogne,Boulogne-sur-Mer,1787-04-01,Angleterre,Angleterre,Etranger,"0000003N",Endeavour,"Oaken, William",,,,,,,,,450,135,0,"2",tx,[1-20]
Guyenne,Bordeaux,Bordeaux,1787-03-03,Amsterdam,Hollande,Etranger,"0013198N",Dame Jacoba,"Jelders, Ede",Provinces-Unies,Hollande,Amsterdam,,Vin,,,,4 860,600,1 215,"81",tx,[51-100]
Roussillon,Collioure,Collioure,1787-03-14,Catalogne,Espagne,Etranger,"0007851N",Notre Dame du Carme,"Allamaits, Pierre",,,,,Blé,,,,36,120,0,"12",tx,[1-20]
Guyenne,Bayonne,Bayonne,1787-03-20,Hambourg,Quatre villes hanséatiques,Etranger,"0010455N",Elizabeth,"Ispsen, Gabriel",,,,,Eau-de-vie,,,,1 920,576,6 660,"185",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-03-17,Scheveningen,Hollande,Etranger,"0001760N",Bateau de Mer,"De Graff, Pierre",Provinces-Unies,Hollande,Scheveningen,,,,,,135,450,0,"12",tx,[1-20]
Bretagne,Brest,Roscoff,1787-01-09,Fowey,Angleterre,Etranger,"0012929N",Anne de Fowey,"Marck, John",Grande-Bretagne,Angleterre,Fowey,,Eau-de-vie,,,,288,480,0,"8",tx,[1-20]
Normandie,Granville,Granville,1787-05-21,Grands Bancs de Terre-Neuve,,Etranger,"0003640N",Charles,"Fougeray, Charles F.",,,,,Pêche à la morue,Ustensiles de pêche,Ustensiles de pêche,Ustensiles de pêche,1 830,0,0,"40",tx,[21-50]
Flandre,Dunkerque,Dunkerque,1787-09-12,Angleterre (destination simulée pour),Angleterre,Etranger,"0001114N",Robert et Sally,"Williamson, John",Grande-Bretagne,Angleterre,Harwich,,,,,,450,135,0,"12",tx,[1-20]
Guyenne,Bordeaux,Bordeaux,1787-06-22,Malaga,Espagne,Etranger,"0008926N",Triton,"Hunt, John",Grande-Bretagne,Angleterre,Hull,,Lest,,,,2 250,5 535,12 960,"216",tx,[201-500]
Flandre,Dunkerque,Dunkerque,1787-06-21,Angleterre (destination simulée pour),Angleterre,Etranger,"0001402N",Polly,"Appleton, Thomas",Grande-Bretagne,Angleterre,Whistable,,,,,,450,135,0,"12",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-02-17,Angleterre,Angleterre,Etranger,"0001338N",Two Sister,"Cook, Peter",,,,,,,,,135,450,0,"2",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-06-20,Angleterre,Angleterre,Etranger,"0000703N",Liberty,Wood,Grande-Bretagne,Angleterre,Douvres,,,,,,450,135,0,"12",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-02-01,Angleterre (destination simulée pour),Angleterre,Etranger,"0000111N",Lark,"Jones, John",,,,,,,,,450,135,0,"12",tx,[1-20]
Guyenne,Bayonne,Bayonne,1787-07-11,Mouros,Espagne,Etranger,"0008518N",Notre Dame du Secours,"Bueno, Joseph",Espagne,,Mouros,,Eau-de-vie,Brai,Brai,Brai,1 920,576,0,"9",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-08-21,Angleterre (destination simulée pour),Angleterre,Etranger,"0001723N",Bonne Intention,"Burfield, George",Grande-Bretagne,Angleterre,Margate,,,,,,135,450,0,"12",tx,[1-20]
Picardie,Calais,Calais,1787-04-22,Douvres,Angleterre,Etranger,"0001573N",Deligence,"Millen, Richard",Grande-Bretagne,Angleterre,Douvres,,,,,,900,135,270,"12",tx,[1-20]
Guyenne,Bordeaux,Bordeaux,1787-12-12,Saint-Sébastien,Espagne,Etranger,"0001152N",Jeune Antoine,"Quimeau, Jean",France,,Bordeaux,Guyenne,Sucre,Diverses marchandises,Diverses marchandises,Diverses marchandises,1 872,1 800,4 440,"74",tx,[51-100]
Picardie,Calais,Calais,1787-02-14,Hambourg,Quatre villes hanséatiques,Etranger,"0003790N",Dame Margueritte,"Houen, Dirk",Hambourg,,Hambourg,,,,,,135,9 000,2 700,"120",tx,[101-200]
Aunis-Saintonge-Poitou,La Rochelle,La Rochelle,1789-04-23,Brême,Quatre villes hanséatiques,Etranger,,Jeune Jean Hendrick,"Jansen, Hendrick",Brême,,Brême,,,,,,480,0,0,"90",tx,[51-100]
Flandre,Dunkerque,Dunkerque,1787-02-10,Angleterre (destination simulée pour),Angleterre,Etranger,"0000612N",Liberté,"Colebrook, William",Grande-Bretagne,Angleterre,Rye,,,,,,450,135,0,"12",tx,[1-20]
Normandie,Le Havre,Le Havre,1787-06-08,Hambourg,Quatre villes hanséatiques,Etranger,"0004091N",Prospérité,"Labbens, Jan Steffens",,,,,,,,,390,117,0,"196",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-11-09,Setúbal ,Portugal,Etranger,"0000665N",Saint Pierre,"Godin, Jean François",France,,Dunkerque,Flandre,,,,,450,135,0,"110",tx,[101-200]
Guyenne,Bordeaux,Bordeaux,1787-12-04,Dublin,Angleterre,Etranger,"0000365N",Sainte Anne,"Butler, John",Grande-Bretagne,Irlande,Dublin,,Vin,Eau-de-vie,Eau-de-vie,Eau-de-vie,600,1 500,6 000,"100",tx,[51-100]
Flandre,Dunkerque,Dunkerque,1787-03-10,Amsterdam,Hollande,Etranger,"0000766N",Saint Nicolas,"Ryckeman, Christian",France,,Dunkerque,Flandre,Seigle,,,,135,450,0,"30",tx,[21-50]
Normandie,Dieppe,Dieppe,1787-07-02,Brighton,Angleterre,Etranger,"0000444N",Speedwell,"Lynd, Charles",,,,,,,,,390,117,0,"12",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-03-07,Angleterre,Angleterre,Etranger,"0002324N",Traveller,Warman,Grande-Bretagne,Angleterre,Folkestone,,,,,,135,450,0,"2",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-05-16,Angleterre,Angleterre,Etranger,"0000460N",Princess Royale,Keyss,Grande-Bretagne,Angleterre,Douvres,,Passagers,,,,450,135,0,"30",tx,[21-50]
Picardie,Boulogne,Boulogne-sur-Mer,1787-01-15,Angleterre,Angleterre,Etranger,"0000107N",Succes,Cheeck,,,,,,,,,135,450,0,"12",tx,[1-20]
Normandie,Le Havre,Le Havre,1787-05-30,Bilbao,Espagne,Etranger,"0013671N",Sainte Catherine,"Delarozaballe, Eugene",,,,,,,,,390,117,0,"130",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-02-21,Angleterre (destination simulée pour),Angleterre,Etranger,"0004063N",Drostemont,"Stone, Thomas",Grande-Bretagne,Angleterre,Burnham,,,,,,135,450,0,"12",tx,[1-20]
Picardie,Calais,Calais,1787-02-24,Deal,Angleterre,Etranger,"0000496N",Bonne Intention,"Carish, John",Grande-Bretagne,Angleterre,Deal,,,,,,45,135,150,"2",tx,[1-20]
Picardie,Boulogne,Boulogne-sur-Mer,1787-06-22,Angleterre,Angleterre,Etranger,"0001391N",Sandwich,"Curry, John",Grande-Bretagne,Angleterre,Folkestone,,,,,,450,135,0,"2",tx,[1-20]
Picardie,Calais,Calais,1787-05-06,Douvres,Angleterre,Etranger,"0000795N",Hardwick,"Clarck, Edouard",Grande-Bretagne,Angleterre,Douvres,,,,,,720,135,2 400,"32",tx,[21-50]
Normandie,Le Havre,Le Havre,1787-06-12,Cork,Angleterre,Etranger,"0006863N",Joseph,"Rodd, William",,,,,,,,,117,390,0,"150",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-09-12,Angleterre (destination simulée pour),Angleterre,Etranger,"0001257N",Rover,"Fearn, George",Grande-Bretagne,Angleterre,Folkestone,,,,,,450,135,0,"12",tx,[1-20]
Picardie,Calais,Calais,1787-09-10,Douvres,Angleterre,Etranger,"0000344N",Cumberland,"Oakley, William",Grande-Bretagne,Angleterre,Douvres,,,,,,2 250,135,675,"30",tx,[21-50]
Normandie,Rouen,Rouen,1787-08-27,Yarmouth,Angleterre,Etranger,"0011975N",Aventure des amis,"Conwal, Dalling",,,,,,,,,3 096,928,117,"86",tx,[51-100]
Aunis-Saintonge-Poitou,La Rochelle,La Rochelle,1789-09-21,Londres,Angleterre,Etranger,,Quaker,"Busnel, Thomas",Grande-Bretagne,Angleterre,Londres,,,,,,480,0,0,"165",tx,[101-200]
Flandre,Dunkerque,Dunkerque,1787-03-21,Grands Bancs de Terre-Neuve,,Etranger,"0002680N",Saint François,"Delinotte, Jean Baptiste",France,,Dunkerque,Flandre,Ustensiles de pêche,Sel,Sel,Sel,675,2 250,0,"100",tx,[51-100]
Normandie,Le Havre,Le Havre,1787-06-23,Cork,Angleterre,Etranger,"0010036N",Deux freres,"Hodgson, John",Grande-Bretagne,Irlande,Cork,,,,,,117,390,0,"37",tx,[21-50]
Guyenne,Bayonne,Bayonne,1787-04-17,Santander,Espagne,Etranger,"0010440N",Marianne,"Desparmet, Gracien",France,,Saint-Jean-de-Luz ,Guyenne,Planches,Vinaigre,Vinaigre,Vinaigre,144,480,0,"30",tx,[21-50]
Flandre,Dunkerque,Dunkerque,1787-08-18,Sunderland,Angleterre,Etranger,"0000593N",Vigne,"Richardson, Robert",Grande-Bretagne,Angleterre,Sunderland,,,,,,450,135,0,"155",tx,[101-200]
Picardie,Boulogne,Boulogne-sur-Mer,1787-11-16,Angleterre,Angleterre,Etranger,"0000496N",Good Intent,Paterson,Grande-Bretagne,Angleterre,Deal,,,,,,450,135,0,"2",tx,[1-20]
Bretagne,Nantes,Le Pouliguen,1787-08-29,Jersey,Angleterre,Etranger,"0003892N",Jeanne Monique,"Le Glohec, Jean Marie",France,,Carnac,Bretagne,Sel,,,,480,144,0,"49",tx,[21-50]
Normandie,Le Havre,Le Havre,1787-10-25,Scarborough,Angleterre,Etranger,"0013406N",Seine,"Hays, Thimotée",,,,,,,,,117,390,0,"196",tx,[101-200]
Aunis-Saintonge-Poitou,La Rochelle,Ars-en-Ré,1789-01-21,Saltcoats,Angleterre,Etranger,,Demoiselle Montgomery,"Bell, Adam",Grande-Bretagne,Ecosse,Saltcoats,,Sel,,,,480,0,0,"90",tx,[51-100]
Flandre,Dunkerque,Dunkerque,1787-10-10,Amsterdam,Hollande,Etranger,"0001544N",Prospérité,"Liebaert, Judoc",France,,Dunkerque,Flandre,Blé,,,,135,450,0,"60",tx,[51-100]
Picardie,Boulogne,Boulogne-sur-Mer,1787-11-15,Angleterre,Angleterre,Etranger,"0001588N",Preston,"Garran, Joseph",Grande-Bretagne,Angleterre,Douvres,,,,,,135,450,0,"12",tx,[1-20]
Guyenne,Bordeaux,Bordeaux,1787-06-13,Newcastle,Angleterre,Etranger,"0012336N",John,"Retchie, James",Grande-Bretagne,Angleterre,Newcastle,,Lest,,,,600,16 800,4 200,"280",tx,[201-500]
Picardie,Boulogne,Boulogne-sur-Mer,1787-08-18,Londres,Angleterre,Etranger,"0001362N",Noirval,"Tilliot, Louis",,,,,Passagers,,,,135,450,0,"15",tx,[1-20]
Picardie,Saint-Valéry-sur-Somme,Saint-Valery-sur-Somme,1787-03-24,Whitby,Angleterre,Etranger,"0003895N",Elizabeth,"Lowes, Ant.",,,,,,,,,1 188,135,450,"33",tx,[21-50]
Picardie,Boulogne,Boulogne-sur-Mer,1787-08-14,Angleterre,Angleterre,Etranger,"0009859N",Two Brothers,"Badgant, John",,,,,,,,,135,450,0,"2",tx,[1-20]
Flandre,Dunkerque,Dunkerque,1787-02-12,Angleterre (destination simulée pour),Angleterre,Etranger,"0000578N",Bonne Intention,"Philip, George",Grande-Bretagne,Angleterre,Hasting,,,,,,450,135,0,"12",tx,[1-20]
